"Value Set Name","Value Set Clinical Focus","OID","Profile Element","Page","Notes or examples"
"Chronic Pain Conditions","This set of values contains diagnoses or problem terms representing that chronic pain exists.","2.16.840.1.113762.1.4.1222.76","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Claudication","This set of values addresses terms representing Claudication.","2.16.840.1.113762.1.4.1222.761","Condition.code","mcc_chronic_condition_value_sets.html","Musculoskeletal Conditions"
"Angioedema","This set of values addresses terms representing Angioedema.","2.16.840.1.113762.1.4.1222.764","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Nonalcoholic Fatty Liver Disease","This set of values addresses terms representing Nonalcoholic Fatty Liver Disease.","2.16.840.1.113762.1.4.1222.770","Condition.code","mcc_chronic_condition_value_sets.html","Digestive System/Gastrointestinal Conditions"
"Thalassemia","This set of values addresses terms representing Thalassemia.","2.16.840.1.113762.1.4.1222.773","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Temporomandibular Disorder Diagnosis","This set of values addresses terms representing Temporomandibular Disorder Diagnosis.","2.16.840.1.113762.1.4.1222.800","Condition.code","mcc_chronic_condition_value_sets.html","Musculoskeletal Conditions"
"Arthritis Disorders","This set of values contains diagnoses or problem terms representing arthritis disorders.","2.16.840.1.113762.1.4.1222.81","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Preeclampsia Disorders","This set of values contains diagnoses or problem terms representing preeclampsia disorders.","2.16.840.1.113762.1.4.1222.84","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Spinal Cord Compression","This set of values addresses terms representing Spinal Cord Compression.","2.16.840.1.113762.1.4.1222.841","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Alcohol Use","This set of values addresses terms representing Alcohol Use (Revised 2021).","2.16.840.1.113762.1.4.1222.845","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Hyperuricemia Conditions","This set of values contains diagnosis terms representing Hyperuricemia conditions.","2.16.840.1.113762.1.4.1222.85","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Vitamin D Deficiency Conditions","This set of values contains diagnosis terms representing Vitamin D Deficiency conditions.","2.16.840.1.113762.1.4.1222.90","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Alkaline Phosphatase Deficiency Conditions","This set of values contains diagnosis terms representing alkaline phosphatase deficiency conditions.","2.16.840.1.113762.1.4.1222.93","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Uremic Pruritus Conditions","This set of values contains diagnosis terms representing uremic pruritus conditions.","2.16.840.1.113762.1.4.1222.96","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Insomnia Disorders","This set of values contains diagnoses or problems terms representing insomnia disorders.","2.16.840.1.113762.1.4.1222.97","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Sleep Disorders","Sleep disorders","2.16.840.1.113883.3.1240.2017.3.2.2007","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Acute Coronary Syndromes","This comprehensive set of codes is intended to capture a patient with acute coronary syndromes (e.g., acute myocardial infarction, acute coronary thrombosis and unstable angina diagnoses).","2.16.840.1.113883.3.3157.2000.10","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Dementia and Related Intracranial Pathologies","The purpose of this value set is to represent concepts for dementia.","2.16.840.1.113883.3.3157.4043","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Type 1 Diabetes","The purpose of this value set is to represent concepts for a diagnosis of type I diabetes mellitus.","2.16.840.1.113883.3.464.1003.103.12.1020","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Type II Diabetes","This value set contains concepts related to a diagnosis of Type II Diabetes.","2.16.840.1.113883.3.464.1003.103.12.1021","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Major Depression","The purpose of this value set is to represent concepts for a diagnosis of major depression.","2.16.840.1.113883.3.464.1003.105.12.1007","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Substance Abuse","The purpose of this value set is to represent concepts for a diagnosis of substance abuse.","2.16.840.1.113883.3.464.1003.106.12.1004","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Hepatitis A","The purpose of this value set is to represent concepts for a diagnosis of Hepatitis A infection.","2.16.840.1.113883.3.464.1003.110.12.1024","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Frailty Diagnosis","The purpose of this value set is to represent concepts for a diagnosis of potential indicators of frailty.","2.16.840.1.113883.3.464.1003.113.12.1074","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Blindness","Blindness","2.16.840.1.113883.3.464.1003.115.12.1089","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hyperthyroidism","The purpose of this value set is to represent concepts for a diagnosis of hyperthyroidism.","2.16.840.1.113883.3.464.1003.117.12.1015","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Hyperparathyroidism","The purpose of this value set is to represent concepts for a diagnosis of hyperparathyroidism.","2.16.840.1.113883.3.464.1003.117.12.1016","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"HIV","The purpose of this value set is to represent concepts for a diagnosis of human immunodeficiency virus (HIV) disease.","2.16.840.1.113883.3.464.1003.120.12.1003","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Diabetic Retinopathy","The purpose of this value set is to represent concepts of a diagnosis of diabetic retinopathy.","2.16.840.1.113883.3.526.3.327","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Arrhythmia","The purpose of this value set is to represent concepts of a diagnosis of arrhythmia.","2.16.840.1.113883.3.526.3.366","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Coronary Artery Disease No MI","The purpose of this value set is to represent concepts of a diagnosis of coronary artery disease without myocardial infarction.","2.16.840.1.113883.3.526.3.369","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Depression Diagnosis","The purpose of this value set is to represent concepts for a diagnosis of a depressed state or actual depressive disorder whether recurrent, chronic, or diagnosed as moderate, major, or severe.","2.16.840.1.113883.3.600.145","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Bipolar Diagnosis","The purpose of this value set is to represent concepts for diagnosis of bipolar disorder.","2.16.840.1.113883.3.600.450","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Acute Myocardial Infarction","This grouping value set contains diagnoses used to identify patients with acute myocardial infarction.","2.16.840.1.113883.3.666.5.3011","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Dysthymia","The purpose of this value set is to represent concepts for diagnoses related to dysthymia.","2.16.840.1.113883.3.67.1.101.1.254","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Hepatitis B","The purpose of this value set is to represent concepts of diagnoses for acute or chronic Hepatitis B infections.","2.16.840.1.113883.3.67.1.101.1.269","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Pruritus","This value set contains concepts related to a diagnosis of pruritus.","2.16.840.1.113883.3.7643.3.1064","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Cognitive disorder Diagnosis","This set of values contains diagnosis terms representing cognitive disorder.","2.16.840.1.113762.1.4.1247.137","Condition.codes","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Hypertension, Primary and Secondary Diagnosis","This set of values addresses terms representing Essential or Primary Hypertension.","2.16.840.1.113762.1.4.1222.1547","Condition.stage","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Left Ventricular Hypertrophy","This set of values addresses terms representing Left Ventricular Hypertrophy.","2.16.840.1.113762.1.4.1222.615","Condition.stage","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Cystography","This set of values represents cystography test concepts.","2.16.840.1.113762.1.4.1222.1583","observation.code","mcc_clinical_test_value_sets.html",""
"Post Void Residual","This set of values addresses terms representing an observation of post void residual urine.","2.16.840.1.113762.1.4.1222.824","observation.code","mcc_clinical_test_value_sets.html",""
"Echocardiogram","This set of values represent echocardiogram test concepts. These terms may be used when reporting a result associated with echocardiogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.873","observation.code","mcc_clinical_test_value_sets.html",""
"Electromyography","This set of values addresses terms representing Electromyography.","2.16.840.1.113762.1.4.1222.967","observation.code","mcc_clinical_test_value_sets.html",""
"Electroencephalogram","This set of values represent Electroencephalogram test concepts. These terms may be used when reporting a result associated with Electroencephalogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.968","observation.code","mcc_clinical_test_value_sets.html",""
"Exercise Stress Test","This set of values addresses terms representing Exercise Stress Test.","2.16.840.1.113762.1.4.1222.969","observation.code","mcc_clinical_test_value_sets.html",""
"Social Determinants of Health Goals","The value sets in this group represent all of the individual domain goals identified by the Gravity Project","2.16.840.1.113762.1.4.1247.71","Goal.description or Goal.target.measure","mcc_goal_value_sets.html",""
"Complete Blood Count (with Diff)","Define list of blood tests that represent a complete blood count with differential.","1.3.6.1.4.1.6997.4.1.2.271.13.38167.1.1.999.594","Observation.code","mcc_laboratory_result_value_sets.html",""
"Glucose Tolerance Test Results","Lists any LOINC code that could represent a Glucose Tolerance Test result","2.16.840.1.113762.1.4.1032.94","Observation.code","mcc_laboratory_result_value_sets.html",""
"Creatinine in blood, serum or plasma","This set of values contains laboratory terms representing blood, serum or plasma Creatinine.","2.16.840.1.113762.1.4.1222.111","Observation.code","mcc_laboratory_result_value_sets.html",""
"Blood Urea Nitrogen","This set of values contains lab test codes used for a blood/serum/plasma Blood Urea Nitrogen lab test using a Mass or Moles per unit volume measurement, regardless of context, such as pre- or post- dialysis, and including both arterial and venous blood sources.","2.16.840.1.113762.1.4.1222.113","Observation.code","mcc_laboratory_result_value_sets.html",""
"Hemoglobin","This set of values contains codes for lab tests commonly used to measure hemoglobin done on a source of blood, serum or plasma with a reporting scale of mass/volume or Moles/volume.","2.16.840.1.113762.1.4.1222.114","Observation.code","mcc_laboratory_result_value_sets.html",""
"Iron Saturation (Transferrin Saturation/TSAT)","This set of values contains codes for lab tests commonly used to measure Iron Saturation done on a source of serum or plasma with a reporting scale of mass/volume or Moles/volume.","2.16.840.1.113762.1.4.1222.118","Observation.code","mcc_laboratory_result_value_sets.html",""
"Hemoglobin A1C","This set of values contains codes for lab tests commonly used to measure Hemoglobin A1C done on a source of blood.","2.16.840.1.113762.1.4.1222.119","Observation.code","mcc_laboratory_result_value_sets.html",""
"Potassium in blood, serum or plasma","This set of values contains codes for lab tests to measure Potassium in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.120","Observation.code","mcc_laboratory_result_value_sets.html",""
"Corrected Calcium","This set of values contains laboratory observable terms for predicted Corrected Calciums in serum or plasma.","2.16.840.1.113762.1.4.1222.122","Observation.code","mcc_laboratory_result_value_sets.html",""
"Phosphorus in blood, serum or plasma","This set of values contains laboratory observable terms for Phosphorus in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.123","Observation.code","mcc_laboratory_result_value_sets.html",""
"Vitamin D Levels","This set of values contains laboratory test observable term codes for Vitamin D level results in blood.","2.16.840.1.113762.1.4.1222.126","Observation.code","mcc_laboratory_result_value_sets.html",""
"KT/V Hemodialysis Ratio","This set of values contains laboratory observable term codes for KT/V. Kt/V is a measure of the dose of dialysis given in a single treatment where K is the dialyzer urea clearance, t is the total treatment time, and V is the total volume","2.16.840.1.113762.1.4.1222.128","Observation.code","mcc_laboratory_result_value_sets.html",""
"Intact Parathyroid Hormone","This set of values contains laboratory observable term codes for Intact Parathyroid Hormone results in blood.","2.16.840.1.113762.1.4.1222.129","Observation.code","mcc_laboratory_result_value_sets.html",""
"Bicarbonate in blood, serum or plasma","This set of values contains laboratory observable term codes for Serum Bicarbonate results in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.130","Observation.code","mcc_laboratory_result_value_sets.html",""
"Sodium in blood, serum or plasma","This set of values contains laboratory observable term codes for Sodium results in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.131","Observation.code","mcc_laboratory_result_value_sets.html",""
"Chloride in blood, serum or plasma","This set of values contains laboratory observable term codes for Chloride results in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.132","Observation.code","mcc_laboratory_result_value_sets.html",""
"High Density Lipoprotein","This set of values contains laboratory observable term codes for High Density Lipoprotein (HDL) related codes results in blood including its ratio with Low Density Lipoprotein (LDL) and cholesterol.","2.16.840.1.113762.1.4.1222.135","Observation.code","mcc_laboratory_result_value_sets.html",""
"Triglyceride in blood, serum or plasma","This set of values contains laboratory observable term codes for triglyceride results in blood, serum and plasma.","2.16.840.1.113762.1.4.1222.137","Observation.code","mcc_laboratory_result_value_sets.html",""
"Cystatin C","This set of values contains laboratory terms representing Cystatin C protein in mass/volume with a specimen source of blood.","2.16.840.1.113762.1.4.1222.138","Observation.code","mcc_laboratory_result_value_sets.html",""
"Total Cholesterol","This set of values contains laboratory observable term codes for Total Cholesterol results in blood.","2.16.840.1.113762.1.4.1222.139","Observation.code","mcc_laboratory_result_value_sets.html",""
"Ferritin","This set of values contains laboratory observable Ferritin terms in blood, serum and plasma.","2.16.840.1.113762.1.4.1222.140","Observation.code","mcc_laboratory_result_value_sets.html",""
"Red Blood Cell Count (Erythrocytes)","This set of values contains laboratory observable term codes for Red Blood Cell (Erythrocyte) Count results in blood.","2.16.840.1.113762.1.4.1222.141","Observation.code","mcc_laboratory_result_value_sets.html",""
"White Blood Cell (Leukocytes) Count","This set of values contains laboratory observable term codes for White Blood Cell (Leukocytes) Count results in blood.","2.16.840.1.113762.1.4.1222.142","Observation.code","mcc_laboratory_result_value_sets.html",""
"Hematocrit","This set of values contains laboratory observable term codes for Hematocrit results in blood.","2.16.840.1.113762.1.4.1222.143","Observation.code","mcc_laboratory_result_value_sets.html",""
"Mean Corpuscular Volume","This set of values contains laboratory observable term codes for Mean Corpuscular Volume results in blood.","2.16.840.1.113762.1.4.1222.144","Observation.code","mcc_laboratory_result_value_sets.html",""
"Mean Corpuscular Hemoglobin Concentration","This set of values contains laboratory observable term codes for Mean Corpuscular Hemoglobin Concentration results in blood.","2.16.840.1.113762.1.4.1222.145","Observation.code","mcc_laboratory_result_value_sets.html",""
"Platelet Count","This set of values contains laboratory observable Platelet Count terms in blood.","2.16.840.1.113762.1.4.1222.146","Observation.code","mcc_laboratory_result_value_sets.html",""
"Erythrocyte Distribution Width","This set of values contains laboratory observable term codes for Erythrocyte Distribution Width results in blood.","2.16.840.1.113762.1.4.1222.147","Observation.code","mcc_laboratory_result_value_sets.html",""
"Platelet Distribution Width","This set of values contains laboratory observable term codes for Platelet Distribution Width results in blood.","2.16.840.1.113762.1.4.1222.148","Observation.code","mcc_laboratory_result_value_sets.html",""
"Platelet Mean Volume","This set of values contains laboratory observable term codes for Platelet Mean Volume results in blood.","2.16.840.1.113762.1.4.1222.149","Observation.code","mcc_laboratory_result_value_sets.html",""
"Estimated Average Glucose","This set of values contains laboratory observable term codes for Estimated Average Glucose results in blood.","2.16.840.1.113762.1.4.1222.150","Observation.code","mcc_laboratory_result_value_sets.html",""
"Albumin in Blood, Plasma, or Serum","This set of values contains laboratory observable term codes for Albumin results in blood.","2.16.840.1.113762.1.4.1222.151","Observation.code","mcc_laboratory_result_value_sets.html",""
"Anion Gap","This set of values contains laboratory observable term codes for Anion Gap results in blood, plasma, and other body fluids.","2.16.840.1.113762.1.4.1222.153","Observation.code","mcc_laboratory_result_value_sets.html",""
"Urine Urea Nitrogen","This set of values contains laboratory observable term codes for Urine Urea Nitrogen.","2.16.840.1.113762.1.4.1222.154","Observation.code","mcc_laboratory_result_value_sets.html",""
"Low Density Lipoprotein","This set of values contains laboratory observable term codes for Low Density Lipoprotein (LDL) related codes results in blood including its ratio with High Density Lipoprotein (HDL) and cholesterol.","2.16.840.1.113762.1.4.1222.1568","Observation.code","mcc_laboratory_result_value_sets.html",""
"Cerebral Spinal Fluid (CSF) Analysis","This set of values contains laboratory observable panel code(s) for Cerebral Spinal Fluid (CSF) Analysis.","2.16.840.1.113762.1.4.1222.1573","Observation.code","mcc_laboratory_result_value_sets.html",""
"Comprehensive Metabolic Panel (CMP)","This set of values contains laboratory observable panel codes for Comprehensive Metabolic Panel (CMP).","2.16.840.1.113762.1.4.1222.1574","Observation.code","mcc_laboratory_result_value_sets.html",""
"Arterial Blood Gas (ABG)","This set of values contains laboratory observable panel code(s) for Arterial Blood Gas (ABG).","2.16.840.1.113762.1.4.1222.1575","Observation.code","mcc_laboratory_result_value_sets.html",""
"Coagulation Assay (PT, aPTT, Fibrinogen)","This set of values contains laboratory observable panel code(s) for Coagulation Assay (PT, aPTT, Fibrinogen).","2.16.840.1.113762.1.4.1222.1576","Observation.code","mcc_laboratory_result_value_sets.html",""
"D Dimer Test","This set of values contains laboratory observable panel code(s) for D-Dimer Test.","2.16.840.1.113762.1.4.1222.1577","Observation.code","mcc_laboratory_result_value_sets.html",""
"Procalcitonin in Blood, Serum, or Plasma","This set of values contains codes for lab tests to measure Procalcitonin in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.1578","Observation.code","mcc_laboratory_result_value_sets.html",""
"Creatine Kinase (CK, CK MB) in Blood, Serum, or Plasma","This set of values contains laboratory observable panel code(s) for Creatine Kinase (CK, CK-MB).","2.16.840.1.113762.1.4.1222.1579","Observation.code","mcc_laboratory_result_value_sets.html",""
"COVID 19 (SARS CoV 2), SARS CoV, Influenza virus A and B Tests","This set of values contains laboratory observable panel codes for COVID-19 (SARS-CoV-2), SARS-CoV, and Influenza virus A and B Tests.","2.16.840.1.113762.1.4.1222.1580","Observation.code","mcc_laboratory_result_value_sets.html",""
"Microorganisms Detection by Blood Culture","This set of values contains laboratory observable panel codes for microorganism detection in Blood Culture.","2.16.840.1.113762.1.4.1222.1581","Observation.code","mcc_laboratory_result_value_sets.html",""
"Microorganisms Detection by Sputum Culture","This set of values contains codes for lab tests to identify microorganisms in sputum culture.","2.16.840.1.113762.1.4.1222.1582","Observation.code","mcc_laboratory_result_value_sets.html",""
"Drugs of Abuse Screen","This set of values addresses terms representing Drugs of Abuse Screen.","2.16.840.1.113762.1.4.1222.1597","Observation.code","mcc_laboratory_result_value_sets.html",""
"Urine Sediment","This set of values contains laboratory observable terms for urine sediment including RBC, RBC casts, WBC, WBC casts, Tubular cells. Cellular casts, Granular casts, and Fat (oval fat bodies, fatty casts, free fat).","2.16.840.1.113762.1.4.1222.176","Observation.code","mcc_laboratory_result_value_sets.html",""
"Estimated Glomerular Filtration Rate (eGFR)","This value set contains concepts that represent estimated glomerular filtration rate (eGFR) tests.","2.16.840.1.113762.1.4.1222.179","Observation.code","mcc_laboratory_result_value_sets.html",""
"Urine Protein to Creatinine Ratio (UPCR)","This set of values addresses terms representing Urine Protein-to-Creatinine Ratio (UPCR).","2.16.840.1.113762.1.4.1222.790","Observation.code","mcc_laboratory_result_value_sets.html",""
"24 Hour Urine Volume","This set of values addresses terms representing 24 Hour Urine Volume.","2.16.840.1.113762.1.4.1222.791","Observation.code","mcc_laboratory_result_value_sets.html",""
"24 Hour Urine Protein Excretion","This set of values addresses terms representing 24 Hour Urine Protein Excretion.","2.16.840.1.113762.1.4.1222.792","Observation.code","mcc_laboratory_result_value_sets.html",""
"Total Carbon Dioxide or Bicarbonate in blood, serum or plasma","Total Carbon Dioxide or Bicarbonate in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.793","Observation.code","mcc_laboratory_result_value_sets.html",""
"Calcium (Not Corrected for Serum Albumin) in Blood, Plasms, or Serum","This set of values addresses terms representing Serum or Plasma or Blood Calcium (Not Corrected for Serum Albumin).","2.16.840.1.113762.1.4.1222.794","Observation.code","mcc_laboratory_result_value_sets.html",""
"B Type Natriuretic Peptide [Bnp] in Blood, Serum or Plasma","This set of values addresses terms representing B Type Natriuretic Peptide [Bnp] in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.795","Observation.code","mcc_laboratory_result_value_sets.html",""
"N Terminal Pro_B_Type Natriuretic Peptide [Nt_Probnp] in blood, serum or plasma","This set of values addresses terms representing N Terminal Pro_B_Type Natriuretic Peptide [Nt_Probnp] in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.797","Observation.code","mcc_laboratory_result_value_sets.html",""
"High Sensitivity Troponin","This set of values addresses terms representing High Sensitivity Troponin.","2.16.840.1.113762.1.4.1222.801","Observation.code","mcc_laboratory_result_value_sets.html",""
"Aspartate Transaminase or Alanine Aminotransferase Ratio","This set of values addresses terms representing Aspartate Transaminase or Alanine Aminotransferase Ratio.","2.16.840.1.113762.1.4.1222.804","Observation.code","mcc_laboratory_result_value_sets.html",""
"Alkaline Phosphatase (Alp) in Blood, Serum or Plasma","This set of values addresses terms representing Alkaline Phosphatase (Alp) in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.805","Observation.code","mcc_laboratory_result_value_sets.html",""
"Gamma Glutamyl Transpeptidase (Ggt) in blood, serum or plasma","This set of values addresses terms representing Gamma Glutamyl Transpeptidase (Ggt) in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.806","Observation.code","mcc_laboratory_result_value_sets.html",""
"Triiodothyronine in serum or plasma","This set of values addresses terms representing Triiodothyronine in serum or plasma.","2.16.840.1.113762.1.4.1222.807","Observation.code","mcc_laboratory_result_value_sets.html",""
"Fasting Blood Glucose","This set of values addresses terms representing Fasting Blood Glucose.","2.16.840.1.113762.1.4.1222.808","Observation.code","mcc_laboratory_result_value_sets.html",""
"Random Blood Glucose Test","This set of values addresses terms representing Random Blood Glucose Test.","2.16.840.1.113762.1.4.1222.809","Observation.code","mcc_laboratory_result_value_sets.html",""
"Uric Acid (Urate) in blood, serum or plasma","This set of values addresses terms representing Uric Acid (Urate) in blood, serum or plasma.","2.16.840.1.113762.1.4.1222.810","Observation.code","mcc_laboratory_result_value_sets.html",""
"Aldosterone/Renin Ratio","This set of values addresses terms representing Aldosterone/Renin Ratio.","2.16.840.1.113762.1.4.1222.811","Observation.code","mcc_laboratory_result_value_sets.html",""
"Serum Rheumatoid Factor","This set of values addresses terms representing Serum Rheumatoid Factor.","2.16.840.1.113762.1.4.1222.812","Observation.code","mcc_laboratory_result_value_sets.html",""
"Blood Ethanol Level","This set of values addresses terms representing Blood Ethanol Level.","2.16.840.1.113762.1.4.1222.813","Observation.code","mcc_laboratory_result_value_sets.html",""
"Urea Reduction Ratio","This set of values addresses terms representing Urea Reduction Ratio.","2.16.840.1.113762.1.4.1222.819","Observation.code","mcc_laboratory_result_value_sets.html",""
"Uroflowmetry","This set of values addresses terms representing Uroflowmetry observations.","2.16.840.1.113762.1.4.1222.823","Observation.code","mcc_laboratory_result_value_sets.html",""
"Kidney Biopsy Report","This set of values addresses terms representing Kidney Biopsy Report.","2.16.840.1.113762.1.4.1222.864","Observation.code","mcc_laboratory_result_value_sets.html",""
"Skin Biopsy Report","This set of values addresses terms representing Skin Biopsy Report.","2.16.840.1.113762.1.4.1222.867","Observation.code","mcc_laboratory_result_value_sets.html",""
"Muscle Biopsy Report","This set of values addresses terms representing Muscle Biopsy Report.","2.16.840.1.113762.1.4.1222.868","Observation.code","mcc_laboratory_result_value_sets.html",""
"Gastric Tissue Biopsy Report","This set of values addresses terms representing Gastric Tissue Biopsy Report.","2.16.840.1.113762.1.4.1222.869","Observation.code","mcc_laboratory_result_value_sets.html",""
"Bone Biopsy Report","This set of values addresses terms representing Bone Biopsy Report.","2.16.840.1.113762.1.4.1222.870","Observation.code","mcc_laboratory_result_value_sets.html",""
"INR","The purpose of this value set is to represent concepts for laboratory test for international normalized ratio (INR).","2.16.840.1.113883.3.117.1.7.1.213","Observation.code","mcc_laboratory_result_value_sets.html",""
"Alanine Aminotransferase (ALT), Bld/Ser/Plas","This set of values contains terms related to alanine aminotransferase (ALT) levels in blood, serum, or plasma.","2.16.840.1.113883.3.3616.200.110.102.5001","Observation.code","mcc_laboratory_result_value_sets.html",""
"Aspartate Aminotransferase (AST), Ser/Plas","This set of values contains terms related to aspartate aminotransferase (AST) in serum or plasma.","2.16.840.1.113883.3.3616.200.110.102.5006","Observation.code","mcc_laboratory_result_value_sets.html",""
"Bilirubin, Total, Bld/Ser/Plas","This set of values contains terms related to total bilirubin levels in blood, serum or plasma.","2.16.840.1.113883.3.3616.200.110.102.5007","Observation.code","mcc_laboratory_result_value_sets.html",""
"C reactive Protein (CRP), Bld/Ser/Plas","This set of values contains terms related to C-reactive protein levels in blood, serum, or plasma.","2.16.840.1.113883.3.3616.200.110.102.5015","Observation.code","mcc_laboratory_result_value_sets.html",""
"Erythrocyte Sedimentation Rate (ESR), Blood","This set of values contains terms related to the measurement of erythrocyte sedimentation rate (ESR) in blood.","2.16.840.1.113883.3.3616.200.110.102.5019","Observation.code","mcc_laboratory_result_value_sets.html",""
"Oxygen Saturation, Blood","This set of values contains terms related to oxygen saturation.","2.16.840.1.113883.3.3616.200.110.102.5033","Observation.code","mcc_laboratory_result_value_sets.html",""
"Troponin I, Bld/Ser/Plas","This set of values contains terms related to the measurement of troponin I levels in blood, serum, or plasma.","2.16.840.1.113883.3.3616.200.110.102.5061","Observation.code","mcc_laboratory_result_value_sets.html",""
"Troponin T, Bld/Ser/Plas","This set of values contains terms related to the measurement of troponin T levels in blood, serum, or plasma.","2.16.840.1.113883.3.3616.200.110.102.5062","Observation.code","mcc_laboratory_result_value_sets.html",""
"Urine Albumin Creatinine Ratio","This value set contains concepts that represent urine albumin creatinine ratio (uACR) tests.","2.16.840.1.113883.3.6929.2.1002","Observation.code","mcc_laboratory_result_value_sets.html",""
"Free T4 (Thyroxine) Test","This value set captures free T4 test.","2.16.840.1.113883.3.7643.2.1019","Observation.code","mcc_laboratory_result_value_sets.html",""
"Thyroid Stimulating Hormone (TSH) Test","This value set captures TSH test.","2.16.840.1.113883.3.7643.3.1024","Observation.code","mcc_laboratory_result_value_sets.html",""
"Xray of Chest (Imaging)","This set of values contains codes for chest x-rays","2.16.840.1.113762.1.4.1146.9","Observation.code","mcc_observation_imaging_value_sets.html",""
"Bone Density","This set of values contains codes commonly used to describe Bone Density.","2.16.840.1.113762.1.4.1222.155","Observation.code","mcc_observation_imaging_value_sets.html",""
"Bone Survey X Rays","This set of values contains codes commonly used to describe Bone Survey X Rays.","2.16.840.1.113762.1.4.1222.156","Observation.code","mcc_observation_imaging_value_sets.html",""
"Chest US","These terms may be used when reporting a result associated with Chest US or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.1571","Observation.code","mcc_observation_imaging_value_sets.html",""
"Spinal or Back CT","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Spinal or Back CT or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.880","Observation.code","mcc_observation_imaging_value_sets.html",""
"Chest CT","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with chest CT or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.881","Observation.code","mcc_observation_imaging_value_sets.html",""
"Abdominal or Pelvic CT","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Abdominal or Pelvic CT or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.882","Observation.code","mcc_observation_imaging_value_sets.html",""
"Limb CT","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Limb CT or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.883","Observation.code","mcc_observation_imaging_value_sets.html",""
